state,sat_2017_participation,sat_2017_total,sat_2018_participation,sat_2018_total,sat_2019_participation,sat_2019_total,act_2017_participation,act_2017_composite,act_2018_participation,act_2018_composite,act_2019_participation,act_2019_composite
Alabama,0.05,1165.0,0.06,1166.0,0.07,1143.0,1.0,19.2,1.0,19.1,1.0,18.9
Alaska,0.38,1080.0,0.43,1106.0,0.41,1097.0,0.65,19.8,0.33,20.8,0.38,20.1
Arizona,0.3,1116.0,0.29,1149.0,0.31,1134.0,0.62,19.7,0.66,19.2,0.73,19.0
Arkansas,0.03,1208.0,0.05,1169.0,0.06,1141.0,1.0,19.4,1.0,19.4,1.0,19.3
California,0.53,1055.0,0.6,1076.0,0.63,1065.0,0.31,22.8,0.27,22.7,0.23,22.6
Colorado,0.11,1201.0,1.0,1025.0,1.0,1024.0,1.0,20.8,0.3,23.9,0.27,23.8
Connecticut,1.0,1041.0,1.0,1053.0,1.0,1046.0,0.31,25.2,0.26,25.6,0.22,25.5
Delaware,1.0,996.0,1.0,998.0,1.0,985.0,0.18,24.1,0.17,23.8,0.13,24.1
District of Columbia,1.0,950.0,0.92,977.0,0.94,975.0,0.32,24.2,,,0.32,23.5
Florida,0.83,1017.0,0.56,1099.0,1.0,999.0,0.73,19.8,0.66,19.9,0.54,20.1
Georgia,0.61,1050.0,0.7,1064.0,0.71,1058.0,0.55,21.4,0.53,21.4,0.49,21.4
Hawaii,0.55,1085.0,0.56,1010.0,0.54,1100.0,0.9,19.0,0.89,18.9,0.8,19.0
Idaho,0.93,1005.0,1.0,1001.0,1.0,993.0,0.38,22.3,0.36,22.3,0.31,22.5
Illinois,0.09,1115.0,0.99,1019.0,1.0,1013.0,0.93,21.4,0.43,23.9,0.35,24.3
Indiana,0.63,1074.0,0.63,1074.0,0.66,1080.0,0.35,22.6,0.32,22.5,0.29,22.5
Iowa,0.02,1275.0,0.03,1265.0,0.03,1244.0,0.67,21.9,0.68,21.8,0.66,21.6
Kansas,0.04,1260.0,0.04,1265.0,0.04,1241.0,0.73,21.7,0.71,21.6,0.72,21.2
Kentucky,0.04,1247.0,0.04,1248.0,0.04,1232.0,1.0,20.0,1.0,20.2,1.0,19.8
Louisiana,0.04,1198.0,0.04,1210.0,0.05,1200.0,1.0,19.5,1.0,19.2,1.0,18.8
Maine,0.95,1012.0,0.99,1013.0,0.99,1013.0,0.08,24.3,0.07,24.0,0.06,24.3
Maryland,0.69,1060.0,0.76,1080.0,0.82,1058.0,0.28,23.6,0.31,22.5,0.28,22.3
Massachusetts,0.76,1107.0,0.8,1125.0,0.81,1120.0,0.29,25.4,0.25,25.5,0.21,25.5
